municipality,name,iata_code,coordinates
Tufi,Tufi Airport,TFI,"-9.07595443726, 149.319839478"
Timbunke,Timbunke Airport,TBE,"-4.196633, 143.519222"
Tawa,Tawa Airport,TWY,"-7.4463, 146.1067"
Terapo Mission,Terapo Airport,TEO,"-8.16972222222, 146.194444444"
Tekadu,Tekadu Airport,TKB,"-7.6808, 146.5503"
Umba,Umba Airport,UMC,"-7.0214, 145.966"
Uroubi,Uroubi Airport,URU,"-9.5162, 148.5591"
Buin,Buin Airport,UBI,"-6.72916666667, 155.683333333"
Aumo,Aumo Airport,AUV,"-5.731111111110001, 148.445277778"
Gulgubip,Gulgubip Airport,GLP,"-5.2808, 141.5411"
Upiara,Upiara Airport,UPR,"-8.5411, 142.6503"
,Kuyol Airport,KUX,"-5.372361111110001, 141.623888889"
Uvol,Uvol Airport,UVO,"-6.0178, 150.9557"
Talasea,Talasea Airport,TLW,"-5.2726, 150.0089"
Torembi,Torembi Airport,TCJ,"-4.0165, 143.1329"
Vanimo,Vanimo Airport,VAI,"-2.6926, 141.3028"
Tonu,Tonu Airport,TON,"-6.6552, 155.4326"
Wuvulu Island,Wuvulu Island Airport,WUV,"-1.73611111111, 142.836666667"
Wabo,Wabo Airport,WAO,"-6.98944444444, 145.075111111"
Wantoat,Wantoat Airport,WTT,"-6.1325, 146.467777778"
Wapenamanda,Wapenamanda Airport,WBM,"-5.635293, 143.892231"
Wavoi Falls,Wawoi Falls Airport,WAJ,"-6.9523, 142.6557"
Wanigela,Wanigela Airport,AGL,"-9.3375, 149.155556"
Wanuma,Wanuma Airport,WNU,"-4.8961, 145.3213"
Wapolu,Wapolu Airport,WBC,"-9.3376, 150.5093"
Wewak,Wewak International Airport,WWK,"-3.58383011818, 143.669006348"
Wonenara,Wonenara Airport,WOA,"-6.796861111110001, 145.891944444"
Wakunai,Wakunai Airport,WKN,"-5.8603, 155.2223"
Wasu,Wasu Airport,WSU,"-5.96170944919, 147.19822526"
Fatima Mission,Woitape Airport,WTP,"-8.545833, 147.2525"
Wau,Wau Airport,WUG,"-7.345556, 146.718611"
Yeva,Yeva Airport,YVD,"-7.548, 146.188"
Sim,Sim Airport,SMJ,"-7.75, 146.9273"
Tol,Tol Airport,TLO,"-4.98083019257, 152.009994507"
Wipim,Wipim Airport,WPM,"-8.78822, 142.882004"
Weam,Weam Airport,WEP,"-8.6184, 141.1381"
Pottuvil,Arugam Bay SPB,AYY,"6.86, 81.82388888890002"
Yalumet,Yalumet Airport,KYX,"-6.09, 147.0117"
,Yenkis(Yankisa) Airport,YEQ,"-5.10972222222, 143.917666667"
Tinboli,Tinboli Airport,TCK,"-4.0949, 143.3838"
,Munbil Airport,LNF,"-4.855941, 141.220165"
,Oram Airport,RAX,"-9.632916666669997, 148.048055556"
,Yapsiei Airport,KPE,"-4.6280555555600005, 141.094166667"
Yasuru,Yasuru Airport,KSX,"-6.6015, 146.1813"
Zenag,Zenag Airport,ZEN,"-6.9522222222200005, 146.61625"
Silur Mission,Silur Airport,SWR,"-4.5298888888899995, 153.054444444"
Wasum,Wasum Airport,WUM,"-6.0491, 149.337"
Sissano,Sissano Airport,SIZ,"-2.99944444444, 142.0445"
Ossima,Ossima Airport,OSG,"-2.91555555556, 141.297305556"
Zabrat,Zabrat Airport,ZXT,"40.494884, 49.977065"
Supai Village,Lava Falls Heliport,HAE,"36.191600799599996, -113.092002869"
,Amazon Bay Airport,AZB,"-10.2991666667, 149.338333333"
Unea Island,Bali Airport,BAJ,"-4.8833333333299995, 149.133333333"
Benguera Island,Benguera Island Airport,BCW,"-21.8533, 35.438301"
Bickerton Island,Milyakburra Airport,BCZ,"-13.780833333299999, 136.201666667"
Bezmer,Bezmer Air Base,JAM,"42.454899, 26.3522"
Aasiaat,Aasiaat Airport,JEG,"68.721802, -52.784698"
Aappilattoq,Aappilattoq Heliport,AOQ,"72.88703, -55.596287"
Tasiilaq,Tasiilaq Heliport,AGM,"65.612296, -37.618335"
Alluitsup Paa,Alluitsup Paa Heliport,LLU,"60.46445, -45.56917"
Aappilattoq,Aappilattoq Heliport,QUV,"60.148357, -44.286916"
Arsuk,Arsuk Heliport,JRK,"61.176828, -48.419698"
Ammassivik,Ammassivik Heliport,QUW,"60.597376, -45.382445"
Attu,Attu Heliport,QGQ,"67.940663, -53.62187"
Narsarsuaq,Narsarsuaq Airport,UAK,"61.15958, -45.42469"
Qasigiannguit,Qasigiannguit Heliport,JCH,"68.822816, -51.173447"
Neerlerit Inaat,Neerlerit Inaat Airport,CNP,"70.743103, -22.650499"
Eqalugaarsuit,Eqalugaarsuit Heliport,QFG,"60.61972, -45.914062"
Narsarmijit,Narsarmijit Heliport,QFN,"60.004694, -44.656935"
Kangilinnguit,Kangilinnguit Heliport,JGR,"61.22896, -48.09698"
Nuuk,Nuuk International Airport,GOH,"64.191066, -51.67914"
Qeqertarsuaq,Qeqertarsuaq Heliport,JGO,"69.251182, -53.514876"
Ikerasak,Ikerasak Heliport,IKE,"70.498145, -51.303084"
Iginniarfik,Iginniarfik Heliport,QFI,"68.14583, -53.16916"
Ikerassaarsuk,Ikerassaarsuk Heliport,QRY,"68.140881, -53.441459"
Ilimanaq,Ilimanaq Heliport,XIQ,"69.080915, -51.114315"
Innarsuit,Innarsuit Heliport,IUI,"73.199895, -56.010817"
Isortoq,Isortoq Heliport,IOQ,"65.547792, -38.976552"
Ikamiut,Ikamiut Heliport,QJI,"68.634253, -51.832262"
Ilulissat,Ilulissat Airport,JAV,"69.243202, -51.057098"
Kangaatsiaq,Kangaatsiaq Heliport,QPW,"68.312657, -53.460208"
Kulusuk,Kulusuk Airport,KUS,"65.573601, -37.1236"
Kuummiut,Kuummiut Heliport,KUZ,"65.863935, -36.997919"
Kullorsuaq,Kullorsuaq Heliport,KHQ,"74.57805, -57.226828"
Kangersuatsiaq,Kangersuatsiaq Heliport,KGQ,"72.381092, -55.536586"
Kitsissuarsuit,Kitsissuarsuit Heliport,QJE,"68.857926, -53.123295"
Illorsuit,Illorsuit Heliport,IOT,"71.241944, -53.562877"
Maniitsoq,Maniitsoq Airport,JSU,"65.412498, -52.9394"
Nanortalik,Nanortalik Heliport,JNN,"60.141884, -45.232977"
Nuugaatsiaq,Nuugaatsiaq Heliport,JUU,"71.538769, -53.205038"
Narsaq,Narsaq Heliport,JNS,"60.917283, -46.059923"
Niaqornat,Niaqornat Heliport,NIQ,"70.789385, -53.662945"
Nuussuaq,Nuussuaq Heliport,NSQ,"74.109853, -57.065037"
Paamiut,Paamiut Airport,JFR,"62.014736, -49.670937"
Qeqertaq,Qeqertaq Heliport,PQT,"69.995861, -51.300917"
Qaanaaq,Qaanaaq Airport,NAQ,"77.488602, -69.388702"
Qassimiut,Qassimiut Heliport,QJH,"60.780959, -47.156249"
Ittoqqortoormiit,Ittoqqortoormiit Heliport,OBY,"70.488229, -21.97168"
Kangerlussuaq,Kangerlussuaq International Airport,SFJ,"67.010446, -50.715294"
Sermiligaaq,Sermiligaaq Heliport,SGG,"65.90592, -36.378254"
Siorapaluk,Siorapaluk Heliport,SRK,"77.786517, -70.638657"
Saarloq,Saarloq Heliport,QOQ,"60.537778, -46.024722"
Sisimiut,Sisimiut Airport,JHS,"66.951302, -53.729301"
Saattut,Saattut Heliport,SAE,"70.811172, -51.63129"
Savissivik,Savissivik Heliport,SVR,"76.018613, -65.117683"
Tasiusaq,Tasiusaq Heliport,TQA,"73.373055, -56.06028"
Pituffik,Pituffik Space Base,THU,"76.53063, -68.700541"
Tiniteqilaaq,Tiniteqilaaq Heliport,TQI,"65.892027, -37.783409"
Tasiusak,Tasiusaq Heliport,XEQ,"60.194305, -44.813447"
Upernavik,Upernavik Airport,JUV,"72.790199, -56.1306"
Uummannaq,Uummannaq Heliport,UMD,"70.680428, -52.11163"
Uummannaq,Qaarsut Airport,JQA,"70.7342, -52.696201"
Ukkusissat,Ukkusissat Heliport,JUK,"71.049438, -51.890016"
Ensenada,Bahía de los Ángeles Airport,BHL,"28.9786, -113.560997"
Brighton Downs,Brighton Downs Airport,BHT,"-23.363333, 141.562778"
Akureyri,Akureyri International Airport,AEY,"65.656573, -18.072018"
Bildudalur,Bildudalur Airport,BIU,"65.641296, -23.5462"
Borgarfjörður eystri,Borgarfjörður eystri Airport,BGJ,"65.516769, -13.81578"
Blönduós,Blönduós Airport,BLO,"65.644997, -20.2875"
Breiðdalsvík,Breiðdalsvík Airport,BXV,"64.790037, -14.043927"
Djúpivogur,Djúpivogur Airport,DJU,"64.642372, -14.277297"
Egilsstaðir,Egilsstaðir Airport,EGS,"65.2833023071289, -14.401399612426758"
Fagurhólsmýri,Fagurhólsmýri Airport,FAG,"63.874699, -16.6411"
Grundarfjörður,Grundarfjörður Airport,GUU,"64.991402, -23.224701"
Gjögur,Gjögur Airport,GJR,"65.9953, -21.3269"
Grímsey/Sandvík,Grímsey Airport,GRY,"66.5458, -18.0173"
Hólmavík,Hólmavík Airport,HVK,"65.704697, -21.6964"
Höfn,Hornafjörður Airport,HFN,"64.295601, -15.2272"
Húsavík,Húsavík Airport,HZK,"65.952301, -17.426001"
Ísafjörður,Ísafjörður Airport,IFJ,"66.058098, -23.1353"
Reykjavík,Keflavik International Airport,KEF,"63.985001, -22.6056"
Kópasker,Kópasker Airport,OPA,"66.310799, -16.4667"
Sauðárkrókur,Sauðárkrókur Airport,SAK,"65.73169708249999, -19.572799682599996"
Norðfjörður,Norðfjörður Airport,NOR,"65.131897, -13.7464"
Reykhólar,Reykhólar Airport,RHA,"65.45262908935547, -22.20611572265625"
Rif,Rif Airport,OLI,"64.911377, -23.818205"
Raufarhöfn,Raufarhöfn Airport,RFN,"66.406403, -15.9183"
Reykjavík,Reykjavík Domestic Airport,RKV,"64.128732, -21.93759"
Myvatn,Mývatn Airport,MVA,"65.6558, -16.9181"
Siglufjörður,Siglufjörður Airport,SIJ,"66.137847, -18.908157"
Stykkishólmur,Stykkishólmur Airport,SYK,"65.058851, -22.764616"
Þingeyri,Þingeyri Airport,TEY,"65.8703, -23.559999"
Þórshöfn,Þórshöfn Airport,THO,"66.218459, -15.334739"
Vestmannaeyjar,Vestmannaeyjar Airport,VEY,"63.42430114746094, -20.278900146484375"
Vopnafjörður,Vopnafjörður Airport,VPN,"65.720596, -14.8506"
Baleela Base Camp,Baleela Airport,BJE,"11.199444444400001, 28.5230555556"
Bahja,Bahja Airport,BJQ,"19.8730555556, 56.067777777799996"
Bentota,Bentota River Waterdrome,BJT,"6.431, 79.996"
Prishtina,Priština Adem Jashari International Airport,PRN,"42.5728, 21.035801"
Bamburi,Bamburi Airport,BMQ,"-3.98138, 39.73112"
Baranof,Baranof Warm Springs Float and Seaplane Base,BNF,"57.088799, -134.833146"
Boana,Boana Airport,BNV,"-6.426631, 146.826697"
Baures,Baures Airport,BVL,"-13.654426, -63.704718"
Boang Island,Boang Airport,BOV,"-3.3834, 153.2812"
Gustavus,Bartlett Cove Seaplane Base,BQV,"58.4552, -135.884995"
Cajazeiras,Pedro Vieira Moreira Airport,CJZ,"-6.8827, -38.61583"
Vitória da Conquista,Glauber de Andrade Rocha Airport,VDC,"-14.907885, -40.914804"
Santana do Araguaia,Santana do Araguaia Airport,CMP,"-9.319906, -50.328536"
Arraias,Arraias Airport,AAI,"-13.025154, -46.884107"
Itabuna,Tertuliano Guedes de Pinho Airport,ITN,"-14.8105, -39.290401"
Leopoldina,Leopoldina Airport,LEP,"-21.468226, -42.727076"
Cururupu,Cururupu Airport,CPU,"-1.820006, -44.864065"
Santa Vitória do Palmar,Santa Vitória do Palmar Airport,CTQ,"-33.502038, -53.344911"
Alto Parnaíba,Alto Parnaíba Airport,APY,"-9.08533, -45.955603"
Juruena,Juruena Airport,JRN,"-10.314114, -58.494877"
Vila Bela Da Santíssima Trindade,Vila Bela da Santíssima Trindade Airport,MTG,"-14.995499, -59.945662"
Alenquer,Alenquer Municipal Airport,ALT,"-1.917, -54.7231"
Bimini,Bimini North Seaplane Base,NSB,"25.767, -79.25"
Besakoa,Besakoa Airport,BSV,"-15.6725, 47.061667"
Betong,Betong International Airport,BTZ,"5.79, 101.15"
Hukuntsi,Hukuntsi Airport,HUK,"-23.9897, 21.758101"
,Bawan Airport,BWJ,"-6.396944444440001, 146.881666667"
Nanuya Lailai Island,Blue Lagoon Seaplane Base,BXL,"-16.943, 177.368"
Orsha,Orsha Airport - Balbasovo Air Base,TXC,"54.439999, 30.2967"
Boundary,Boundary Airport,BYA,"64.077678, -141.122088"
Beliyela,Bella Yella Airport,BYL,"7.36916666667, -9.99372222222"
Colombo,Beira Lake Seaplane Base,BYV,"6.9294444444400005, 79.85416666670001"
Belmopan,Hector Silva Airstrip,BCV,"17.269603, -88.776496"
Big Creek,Big Creek Airport,BGK,"16.519369, -88.407913"
Caye Caulker,Caye Caulker Airport,CUK,"17.735015, -88.032862"
Caye Chapel,Caye Chapel Airport,CYC,"17.683792, -88.044985"
Corozal,Corozal Airport,CZH,"18.3822, -88.411903"
Dangriga,Dangriga Airport,DGA,"16.98251, -88.230988"
Independence,Independence Airport,INB,"16.53456, -88.441615"
Hope Creek,Melinda Airport,MDB,"16.998419, -88.318191"
Orange Walk,H.E Alfredo Martinez (Tower Hill) Airstrip,ORZ,"18.046767, -88.583858"
Punta Gorda,Punta Gorda Airport,PND,"16.1024, -88.808296"
Sartaneja,Sartaneja Airport,SJX,"18.3561, -88.130798"
San Pedro,John Greif II Airport,SPR,"17.9139, -87.9711"
Spanish Lookout,Matthew Spain Airport,SQS,"17.185898, -89.009936"
Santa Cruz,Santa Cruz Airport,STU,"18.2721004486084, -88.456298828125"
Silver Creek,Silver Creek Airport,SVK,"16.728338, -88.369174"
Belize City,Sir Barry Bowen Municipal Airport,TZA,"17.517239, -88.195775"
Bazaruto Island,Bazaruto Island Airport,BZB,"-21.5411, 35.4729"
Bemolanga,Bemolanga Airport,BZM,"-17.6925, 45.0888333333"
Primrose,Primrose Airport,PFM,"55.390002, -111.1198"
Saglek,Saglek Airport,YSV,"58.474312, -62.653999"
Big Bay,Stuart Island Airstrip,YRR,"50.409447, -125.131617"
Mary River,Mary River Aerodrome,YMV,"71.324167, -79.356944"
Hecate Island,Hakai Passage Water Aerodrome,YHC,"51.669733, -128.08181"
Galiano Island,Montague Harbour Seaplane Base,YMF,"48.89225, -123.39215"
Paradise,Paradise Skypark Airport,PYS,"39.71029, -121.616528"
Bedwell Harbour,Bedwell Harbour Seaplane Base,YBW,"48.75, -123.233002"
Tofino,Tofino Harbour Seaplane Base,YTP,"49.155, -125.91"
West Kelowna,Alpine Heliport,CBA,"49.8636, -119.568045"
Nanaimo,Nanaimo Harbour Water Aerodrome,ZNA,"49.169813, -123.933845"
Trail,Trail Regional Airport,YZZ,"49.055599, -117.609001"
Merritt,Merritt Airport,YMB,"50.122504, -120.745368"
Campbell River,Campbell River Seaplane Base,YHH,"50.049999, -125.25"
Whistler,Whistler/Green Lake Water Aerodrome,YWS,"50.1436004639, -122.948997498"
Bamfield,Bamfield Seaplane Base,YBF,"48.835967, -125.137453"
Stuart Island,Big Bay Seaplane Base,YIG,"50.3923, -125.1372"
Chilko Lake,Chilko Lake (Tsylos Park Lodge) Airport,CJH,"51.625797, -124.144478"
Sunshine Coast,Pender Harbour Seaplane Base,YPT,"49.623785, -124.024884"
Ocean Falls,Ocean Falls Seaplane Base,ZOF,"52.3666992188, -127.717002869"
Courtenay,Courtenay Airpark,YCA,"49.679237, -124.98064"
Creston,Creston Valley Regional Airport - Art Sutcliffe Field,CFQ,"49.03689956665, -116.49800109863"
Anahim Lake,Anahim Lake Airport,YAA,"52.451501, -125.303776"
Douglas Lake,Douglas Lake Airport,DGF,"50.1654600485, -120.171273351"
Albian Village,Fort MacKay/Albian Aerodrome,JHL,"57.223899841299996, -111.418998718"
Tahsis,Tahsis Seaplane Base,ZTS,"49.92, -126.655"
Duncan,Duncan Airport,DUQ,"48.754534, -123.709702"
Sechelt,Sechelt-Gibsons Airport,YHS,"49.460601806599996, -123.71900177"
Kitkatla,Kitkatla Seaplane Base,YKK,"53.7999992371, -130.432998657"
Queen Charlotte,Queen Charlotte City Seaplane Base,ZQS,"53.25282, -132.074214"
Powell River,Powell Lake Seaplane Base,WPL,"49.887335, -124.53372"
Qualicum Beach,Qualicum Beach Airport,XQU,"49.337456, -124.393086"
Port McNeill,Port McNeill Airport,YMP,"50.57348, -127.027702"
Rivers Inlet,Rivers Inlet Seaplane Base,YRN,"51.683985, -127.264044"
Sullivan Bay,Sullivan Bay Seaplane Base,YTG,"50.885359, -126.831069"
Mansons Landing,Mansons Landing Seaplane Base,YMU,"50.07137, -124.98362"
Miners Bay,Mayne Island Seaplane Base,YAV,"48.852241, -123.301982"
Bella Bella,Bella Bella/Shearwater Seaplane Base,YSX,"52.150002, -128.08299"
Salt Spring Island,Ganges Seaplane Base,YGG,"48.8545, -123.4969"
Hartley Bay,Hartley Bay Seaplane Base,YTB,"53.416698, -129.25"
Cache Creek,Cache Creek-Ashcroft Regional Airport,YZA,"50.775258, -121.321314"
Bella Bella,Bella Bella (Campbell Island) Airport,ZEL,"52.185001, -128.156994"
,Cherrabun Airport,CBC,"-18.917777777800005, 125.537777778"
Port Alberni,Alberni Valley Regional Airport,YPB,"49.321899, -124.931"
Bob Quinn Lake,Bob Quinn Lake Airport,YBO,"56.966702, -130.25"
Tungsten,Tungsten (Cantung) Airport,TNS,"61.956901550293, -128.20300292969"
Tumbler Ridge,Tumbler Ridge Airport,TUX,"55.025001525879, -120.93499755859"
Williams Harbour,Williams Harbour Airport,YWM,"52.567377, -55.784883"
Postville,Postville Airport,YSO,"54.9105, -59.78507"
Black Tickle,Black Tickle Airport,YBI,"53.469836, -55.787501"
Charlottetown,Charlottetown Airport,YHG,"52.765774, -56.11237"
St. Lewis,St. Lewis (Fox Harbour) Airport,YFX,"52.372799, -55.673901"
Port Hope Simpson,Port Hope Simpson Airport,YHA,"52.528099060058594, -56.28609848022461"
Rigolet,Rigolet Airport,YRG,"54.1796989440918, -58.45750045776367"
Kasongo-Lunda,Kasongo-Lunda Airport,KGN,"-6.468027, 16.805012"
Diavik,Diavik Airport,DVK,"64.5113983154, -110.289001465"
Hope Bay,Doris Lake,JOJ,"68.1252746582, -106.585281372"
Fairview,Fairview Airport,ZFW,"56.081401825, -118.434997559"
Hinton,Jasper-Hinton Airport,YJP,"53.319199, -117.752998"
Whatì,Whatì Airport,YLE,"63.131699, -117.246002"
Drayton Valley,Drayton Valley Industrial Airport,YDC,"53.265800476074, -114.95999908447"
Fort McMurray,Fort McMurray / Mildred Lake Airport,NML,"57.0555992126, -111.573997498"
Conklin,Conklin (Leismer) Airport,CFM,"55.695301, -111.278999"
Kavadja,Kavadja Airport,KWD,"7.964938, 23.526018"
Taltheilei Narrows,Taltheilei Narrows Airport,GSL,"62.5980987549, -111.542999268"
Macmillan Pass,Macmillan Pass Airport,XMP,"63.181098938, -130.20199585"
Great Bear Lake,Great Bear Lake Airport,DAS,"66.703053, -119.716816"
Suncor Energy Site,Fort Mackay / Firebag,YFI,"57.275833, -110.976666"
Donnelly,Donnelly Airport,YOE,"55.7094, -117.094002"
Cheadle,Cheadle Airport,TIL,"51.057498931885, -113.62400054932"
Okoyo,Okoyo Airport,OKG,"-1.4483300447464, 15.073300361633"
Craig,Craig Seaplane Base,CGA,"55.478802, -133.147995"
Casiguran,Casiguran Airport,CGG,"16.1941, 122.0651"
Kennedy Lake,Gahcho Kue,GHK,"63.435198, -109.144812"
Circle Hot Springs,Circle Hot Springs Airport,CHP,"65.485496521, -144.610992432"
Laurie River,Laurie River Airport,LRQ,"56.2486000061, -101.304000854"
Hatchet Lake,Hatchet Lake Airport,YDJ,"58.662498474121, -103.53800201416"
Kasba Lake,Kasba Lake Airport,YDU,"60.291900634766, -102.50199890137"
Fort Reliance,Fort Reliance Seaplane Base,YFL,"62.7, -109.167"
Cluff Lake,Cluff Lake Airport,XCL,"58.3911018372, -109.51599884"
Knee Lake,Knee Lake Airport,YKE,"54.915298, -94.798103"
Summer Beaver,Summer Beaver Airport,SUR,"52.70859909057617, -88.54190063476562"
Crooked Creek,Crooked Creek Airport,CKD,"61.870315, -158.137636"
Tisdale,Tisdale Airport,YTT,"52.836700439453, -104.06700134277"
Angling Lake,Wapekeka Airport,YAX,"53.84920120239258, -89.57939910888672"
Wunnumin Lake,Wunnumin Lake Airport,WNN,"52.893902, -89.2892"
Opapimiskan Lake,Opapimiskan Lake Airport,YBS,"52.6067008972, -90.3768997192"
North Spirit Lake,North Spirit Lake Airport,YNO,"52.4900016784668, -92.97109985351562"
Crane Island,Crane Island Airstrip,CKR,"48.5978, -122.9979"
Cordova,Cordova Municipal Airport,CKU,"60.5438995361, -145.727005005"
Obre Lake,North of Sixty Airport,YDW,"60.315719, -103.131324"
Chicken,Chicken Airport,CKX,"64.066495, -141.951342"
Cametá,New Cametá Airport,CMT,"-2.2468, -49.56"
Caia,Caia Airport,CMZ,"-17.8331, 35.3341"
Zigong (Gongjing),Zigong Fengming Airport,ZKL,"29.376484, 104.625789"
Bazhong,Bazhong Enyang Airport,BZX,"31.73842, 106.644872"
Shangluo (Danfeng),Shangluo Airport,DFA,"33.708533, 110.249284"
Shaoguan,Shaoguan Danxia Airport,HSC,"24.9786, 113.420998"
Ji'an,Jinggangshan Airport,JGS,"26.856899, 114.737"
Hainan (Gonghe),Hainanzhou Gonghe Airport,HNG,"36.3367, 100.480003"
"Xiuzhou,Jiaxing Nanhu Airport,ZSJX,,"30.698056, 120.663056"
Hulunbuir,Morin Dawa Banner Airport,DWS,"48.38745, 124.43127"
Shijiazhuang,Shijiazhuang Luancheng Airport,LCT,"37.91305, 114.59166"
Wuhan (Hannan),Wuhan Hannan Municipal Airport,WHN,"30.25521, 114.062805"
Harbin,Harbin Pingfang Airport,PFA,"45.59886, 126.65808"
Yantai,Penglai Shahekou Airport,PNJ,"37.80473, 120.80954"
Binzhou,Binzhou Dagao General Aviation Airport,CBZ,"37.61055, 117.885699"
Xigazê (Dingri),Shigatse Tingri Airport,DDR,"28.604567, 86.798"
Tashikuergan,Tashikuergan Hongqilafu Airport,HQL,"37.661333, 75.288877"
Jinhua (Dongyang),Dongyang Hengdian General Airport,HEW,"29.122619, 120.24289"
Hangzhou,Jiande Qiandaohu General Airport,JDE,"29.360905, 119.180829"
Suihua,Zhaodong Beidahuang General Airport,HLJ,"46.12779, 125.77354"
Taiyuan,Taiyuan Yaocheng Airport,TYC,"37.50312, 112.424126"
Orku,Wuerhe Airport,WRH,"46.01761, 85.657436"
Ganzhou,Ganzhou Ruijin Airport,JRJ,"25.960236, 116.077016"
Burang Town,Ali Pulan Airport,APJ,"30.397898, 81.13317"
Zhaosu,Zhaosu Tianma Airport,ZFL,"43.088477, 81.223013"
Yinchuan,Yinchuan Yueyahu Airport,YEH,"38.588095, 106.539788"
Dehong (Longchuan),Longchuan Guangsong Airport,LCS,"24.26652, 97.9048"
Lanping Bai,Lanping Fenghua General Airport,LFH,"26.64518, 99.54419"
Zhongshan,Zhongshan Ferry Port,ZGN,"22.519296, 113.361307"
Bozhou,Bozhou Airport (under construction),BZJ,"33.560777, 115.911859"
Bailingmiao,Bailing Airport,BKV,"41.656944, 110.3125"
Hejing,Hejing Bayinbuluke Airport,HJB,"42.976395, 83.995543"
Otog Front Banner,Otog Front Banner Oljoq Airport,OTQ,"38.1712, 107.3905"
Qitai,Qitai Jiangbulake Airport,JBK,"44.166086, 89.55014"
Zhaotong,Zhaotong Zhaoyang Airport （Not fully opened),ZAT,"27.205843, 103.691511"
Lishui (Liandu),Lishui Airport,LIJ,"28.3727, 119.839"
Nanchang,Nanchang Yaohu Airport,YHJ,"28.700972, 116.107694"
Wulan,Otog Banner Wulan Airport,OTO,"39.03139, 107.98889"
Beijing,Beijing Nanyuan Airport,NAY,"39.782158, 116.386299"
Bengbu,Bengbu Tenghu Airport,BFY,"33.166292, 117.058344"
Bearskin Lake,Bearskin Lake Airport,XBE,"53.965599060058594, -91.0271987915039"
Natuashish,Natuashish Airport,YNP,"55.913898, -61.184399"
White River,White River Seaplane Base,YWR,"48.6269, -85.223297"
Parry Sound,Parry Sound Area Municipal Airport,YPD,"45.2575, -79.829697"
Brockville,Brockville - Thousand Islands Regional Tackaberry Airport,XBR,"44.6394004822, -75.7502975464"
Kingfisher Lake,Kingfisher Lake Airport,KIF,"53.01250076293945, -89.85530090332031"
La Chorrera,Virgilio Barco Vargas (La Chorrera) Airport,LCR,"-1.456361, -72.801086"
Echo Bay,Bar River Airport,YEB,"46.421233, -84.096478"
,Cape Orford Airport,CPI,"-5.44833333333, 152.081944444"
Frying Pan Island,Parry Sound/Frying Pan Island-Sans Souci Seaplane Base,YSI,"45.173302, -80.137497"
Keewaywin,Keewaywin Airport,KEW,"52.9911, -92.836403"
Cóbano,Cóbano Airport,ACO,"9.693365, -85.091216"
